state,year,population
Alabama,1994,4260229
Alabama,1995,4296800
Alabama,1996,4331102
Alabama,1997,4367935
Alabama,1998,4404701
Alabama,1999,4430141
Alabama,2000,4452173
Alabama,2001,4467634
Alabama,2002,4480089
Alabama,2003,4503491
Alabama,2004,4530729
Alabama,2005,4569805
Alabama,2006,4628981
Alabama,2007,4672840
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4785492
Alabama,2011,4799918
Alabama,2012,4815960
Alabama,2013,4829479
Alabama,2014,4843214
Alabama,2015,4853875
Alabama,2016,4863300
Alaska,1994,603308
Alaska,1995,604412
Alaska,1996,608569
Alaska,1997,612968
Alaska,1998,619932
Alaska,1999,624779
Alaska,2000,627963
Alaska,2001,633714
Alaska,2002,642337
Alaska,2003,648414
Alaska,2004,659286
Alaska,2005,666946
Alaska,2006,675302
Alaska,2007,680300
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,714031
Alaska,2011,722713
Alaska,2012,731089
Alaska,2013,736879
Alaska,2014,736705
Alaska,2015,737709
Alaska,2016,741894
Arizona,1994,4245089
Arizona,1995,4432499
Arizona,1996,4586940
Arizona,1997,4736990
Arizona,1998,4883342
Arizona,1999,5023823
Arizona,2000,5160586
Arizona,2001,5273477
Arizona,2002,5396255
Arizona,2003,5510364
Arizona,2004,5652404
Arizona,2005,5839077
Arizona,2006,6029141
Arizona,2007,6167681
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6408312
Arizona,2011,6467163
Arizona,2012,6549634
Arizona,2013,6624617
Arizona,2014,6719993
Arizona,2015,6817565
Arizona,2016,6931071
Arkansas,1994,2494019
Arkansas,1995,2535399
Arkansas,1996,2572109
Arkansas,1997,2601090
Arkansas,1998,2626289
Arkansas,1999,2651860
Arkansas,2000,2678588
Arkansas,2001,2691571
Arkansas,2002,2705927
Arkansas,2003,2724816
Arkansas,2004,2749686
Arkansas,2005,2781097
Arkansas,2006,2821761
Arkansas,2007,2848650
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921995
Arkansas,2011,2939493
Arkansas,2012,2950685
Arkansas,2013,2958663
Arkansas,2014,2966912
Arkansas,2015,2977853
Arkansas,2016,2988248
California,1994,31484435
California,1995,31696582
California,1996,32018834
California,1997,32486010
California,1998,32987675
California,1999,33499204
California,2000,33987977
California,2001,34479458
California,2002,34871843
California,2003,35253159
California,2004,35574576
California,2005,35827943
California,2006,36021202
California,2007,36250311
California,2008,36604337
California,2009,36961229
California,2010,37332685
California,2011,37676861
California,2012,38011074
California,2013,38335203
California,2014,38680810
California,2015,38993940
California,2016,39250017
Colorado,1994,3724168
Colorado,1995,3826653
Colorado,1996,3919972
Colorado,1997,4018293
Colorado,1998,4116639
Colorado,1999,4226018
Colorado,2000,4326921
Colorado,2001,4425687
Colorado,2002,4490406
Colorado,2003,4528732
Colorado,2004,4575013
Colorado,2005,4631888
Colorado,2006,4720423
Colorado,2007,4803868
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5048644
Colorado,2011,5118360
Colorado,2012,5189867
Colorado,2013,5267603
Colorado,2014,5349648
Colorado,2015,5448819
Colorado,2016,5540545
Connecticut,1994,3316121
Connecticut,1995,3324144
Connecticut,1996,3336685
Connecticut,1997,3349348
Connecticut,1998,3365352
Connecticut,1999,3386401
Connecticut,2000,3411777
Connecticut,2001,3432835
Connecticut,2002,3458749
Connecticut,2003,3484336
Connecticut,2004,3496094
Connecticut,2005,3506956
Connecticut,2006,3517460
Connecticut,2007,3527270
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3579899
Connecticut,2011,3589893
Connecticut,2012,3593795
Connecticut,2013,3596003
Connecticut,2014,3591873
Connecticut,2015,3584730
Connecticut,2016,3576452
Delaware,1994,717545
Delaware,1995,729734
Delaware,1996,740977
Delaware,1997,751487
Delaware,1998,763335
Delaware,1999,774990
Delaware,2000,786373
Delaware,2001,795699
Delaware,2002,806169
Delaware,2003,818003
Delaware,2004,830803
Delaware,2005,845150
Delaware,2006,859268
Delaware,2007,871749
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899816
Delaware,2011,907924
Delaware,2012,916993
Delaware,2013,925395
Delaware,2014,934948
Delaware,2015,944076
Delaware,2016,952065
District of Columbia,1994,589239
District of Columbia,1995,580517
District of Columbia,1996,572377
District of Columbia,1997,567736
District of Columbia,1998,565230
District of Columbia,1999,570213
District of Columbia,2000,572046
District of Columbia,2001,574504
District of Columbia,2002,573158
District of Columbia,2003,568502
District of Columbia,2004,567754
District of Columbia,2005,567136
District of Columbia,2006,570681
District of Columbia,2007,574404
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,605183
District of Columbia,2011,620477
District of Columbia,2012,635327
District of Columbia,2013,649165
District of Columbia,2014,659005
District of Columbia,2015,670377
District of Columbia,2016,681170
Florida,1994,14239444
Florida,1995,14537875
Florida,1996,14853360
Florida,1997,15186304
Florida,1998,15486559
Florida,1999,15759421
Florida,2000,16047515
Florida,2001,16356966
Florida,2002,16689370
Florida,2003,17004085
Florida,2004,17415318
Florida,2005,17842038
Florida,2006,18166990
Florida,2007,18367842
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18849098
Florida,2011,19096952
Florida,2012,19344156
Florida,2013,19582022
Florida,2014,19888741
Florida,2015,20244914
Florida,2016,20612439
Georgia,1994,7157165
Georgia,1995,7328413
Georgia,1996,7501069
Georgia,1997,7685099
Georgia,1998,7863536
Georgia,1999,8045965
Georgia,2000,8227303
Georgia,2001,8377038
Georgia,2002,8508256
Georgia,2003,8622793
Georgia,2004,8769252
Georgia,2005,8925922
Georgia,2006,9155813
Georgia,2007,9349988
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9713521
Georgia,2011,9811610
Georgia,2012,9914668
Georgia,2013,9984938
Georgia,2014,10087231
Georgia,2015,10199398
Georgia,2016,10310371
Hawaii,1994,1187536
Hawaii,1995,1196854
Hawaii,1996,1203755
Hawaii,1997,1211640
Hawaii,1998,1215233
Hawaii,1999,1210300
Hawaii,2000,1213519
Hawaii,2001,1225948
Hawaii,2002,1239613
Hawaii,2003,1251154
Hawaii,2004,1273569
Hawaii,2005,1292729
Hawaii,2006,1309731
Hawaii,2007,1315675
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1363945
Hawaii,2011,1377864
Hawaii,2012,1391820
Hawaii,2013,1406481
Hawaii,2014,1416349
Hawaii,2015,1425157
Hawaii,2016,1428557
Idaho,1994,1145140
Idaho,1995,1177322
Idaho,1996,1203083
Idaho,1997,1228520
Idaho,1998,1252330
Idaho,1999,1275674
Idaho,2000,1299430
Idaho,2001,1319962
Idaho,2002,1340372
Idaho,2003,1363380
Idaho,2004,1391802
Idaho,2005,1428241
Idaho,2006,1468669
Idaho,2007,1505105
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1571010
Idaho,2011,1584143
Idaho,2012,1595911
Idaho,2013,1612011
Idaho,2014,1633532
Idaho,2015,1652828
Idaho,2016,1683140
Illinois,1994,11912585
Illinois,1995,12008437
Illinois,1996,12101997
Illinois,1997,12185715
Illinois,1998,12271847
Illinois,1999,12359020
Illinois,2000,12434161
Illinois,2001,12488445
Illinois,2002,12525556
Illinois,2003,12556006
Illinois,2004,12589773
Illinois,2005,12609903
Illinois,2006,12643955
Illinois,2007,12695866
